UB mesh mode: 32 GPUs with full mesh connectivity (no switches)
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 6: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 7: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 8: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 9: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 17: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 2 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 4: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 5: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 6: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 7: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 8: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 9: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 11: delay=1000ns, bw=2000000000000
