[TOPOLOGY_DEBUG] Setting up network topology:
[TOPOLOGY_DEBUG]   node_num=32 gpus_per_server=8
[TOPOLOGY_DEBUG]   nvswitch_num=0 switch_num=0
[TOPOLOGY_DEBUG]   link_num=496 enable_ub_mesh=0
[UB_MESH_DEBUG] Detected UB mesh topology - implementing distributed routing
[LINK_DEBUG] Creating link 47: src=1 dst=18 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 48: src=1 dst=19 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 49: src=1 dst=20 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 50: src=1 dst=21 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 51: src=1 dst=22 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 52: src=1 dst=23 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 53: src=1 dst=24 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 54: src=1 dst=25 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 55: src=1 dst=26 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 56: src=1 dst=27 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 57: src=1 dst=28 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 58: src=1 dst=29 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 59: src=1 dst=30 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 60: src=1 dst=31 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=1
[LINK_DEBUG] Creating link 61: src=2 dst=3 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 62: src=2 dst=4 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 63: src=2 dst=5 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 64: src=2 dst=6 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 65: src=2 dst=7 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 66: src=2 dst=8 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 67: src=2 dst=9 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
